source_portal,source_url,slug,brand_slug,name,brand,description,availability,currency,price_low_eur,price_high_eur,overall_rating,power,control,maneuverability,sweet_spot,ball_output,total,player_type,shape,level,balance,feel,surface,game_type,season,core_material,face_material,frame_material,racket_finish
pala-hack,https://pala-hack.com/en/padel-rackets/black-crown/black-crown-piton-11-soft-2023/,black-crown-piton-11-soft-2023,black-crown,Black Crown Piton 11 Soft 2023,Black Crown,This padel racket Black Crown Round is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,89.95,260.0,8.45,7.25,8.25,8.75,8.25,9.75,8.45,"Man, Women",Round,Advanced,Low,"Medium, Soft",Rough,Control,2023,Eva 3XPlay,Carbon Aluminazed 3K,Carbon Fiber 80% Double Tubular,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/black-crown/black-crown-piton-attack-16k-2023/,black-crown-piton-attack-16k-2023,black-crown,Black Crown Piton Attack 16K 2023,Black Crown,This padel racket Black Crown Teardrop is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,195.0,260.0,8.4,8.0,8.5,8.0,8.0,9.5,8.4,"Man, Women",Teardrop,Advanced,Medium,Medium,Rough,Versatile,2023,Eva Super Control,Carbon 16K,Carbon Fiber 80%,Arenoso
pala-hack,https://pala-hack.com/en/padel-rackets/black-crown/black-crown-piton-furia-2023/,black-crown-piton-furia-2023,black-crown,Black Crown Piton Furia 2023,Black Crown,This padel racket Black Crown Round is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,140.4,180.0,8.45,7.25,8.25,8.75,8.25,9.75,8.45,Women,Round,Advanced,Low,Soft,Smooth,Control,2023,Eva Super Control,Dos Glass Fiber x2 + Density Piton Glass,Carbon Fiber 80% Double Tubular,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/black-crown/black-crown-special-soft-2023/,black-crown-special-soft-2023,black-crown,Black Crown Special Soft 2023,Black Crown,This padel racket Black Crown Teardrop is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,218.4,280.0,8.55,8.75,8.75,8.25,7.75,9.25,8.55,"Man, Women",Teardrop,Advanced,Medium,"Medium, Soft",Rough,Control,2023,Eva White Power Soft Memory,Carbon Aluminazed 3K,Carbon Fiber Double Tubular,Arenoso
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-flow-women-2023/,bullpadel-flow-women-2023,bullpadel,Bullpadel Flow Women 2023,Bullpadel,This padel racket Bullpadel Diamond is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,197.06,269.95,8.4,8.5,8.0,8.0,8.0,9.5,8.4,Women,Diamond,Advanced,High,"Medium, Soft",Rough,Versatile,2023,Multieva,Hybrid Fiber Fibrix,Carbon Tube 100%,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-03-comfort-2023/,bullpadel-hack-03-comfort-2023,bullpadel,Bullpadel Hack 03 Comfort 2023,Bullpadel,This padel racket Bullpadel Diamond is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,200.86,244.95,8.4,7.75,7.75,8.25,8.25,10.0,8.4,"Man, Women",Diamond,Advanced,High,"Medium, Soft",Smooth,Power,2023,Multieva,Hybrid Fiber Fibrix,Carbon Tube 100%,Brillo
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-03-control-2023/,bullpadel-hack-03-control-2023,bullpadel,Bullpadel Hack 03 Control 2023,Bullpadel,This padel racket Bullpadel Round is an ideal model for a level intermediate and stands out for Control.,https://schema.org/InStock,EUR,297.46,349.95,8.6,8.0,10.0,9.0,8.5,7.5,8.6,"Man, Women",Round,Advanced,Low,"Hard, Medium",Smooth,Control,2023,Multieva,Carbon Tricarbon 3D,Carbon Tube 100%,Brillo
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-03-master-final-2023/,bullpadel-hack-03-master-final-2023,bullpadel,Bullpadel Hack 03 Master Final 2023,Bullpadel,This padel racket Bullpadel Diamond is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,148.65,349.95,8.55,9.75,9.25,8.0,8.0,7.75,8.55,Man,Diamond,Advanced,High,"Hard, Medium",Rough,Power,2023,Multieva,Carbon Tricarbon 3D,Carbon Tube 100%,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-ionic-control-2023/,bullpadel-ionic-control-2023,bullpadel,Bullpadel Ionic Control 2023,Bullpadel,This padel racket Bullpadel Round is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,169.36,219.95,8.35,6.75,8.25,8.75,8.75,9.25,8.35,"Man, Women",Round,"Advanced, Intermediate",Low,"Medium, Soft",Rough,Control,2023,Multieva,"Galphite, glass + carbon fiber",Carbon Tube 100%,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-ionic-power-2023/,bullpadel-ionic-power-2023,bullpadel,Bullpadel Ionic Power 2023,Bullpadel,This padel racket Bullpadel Diamond is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,173.76,219.95,8.4,9.0,8.0,8.0,8.5,8.5,8.4,"Man, Women",Diamond,"Advanced, Intermediate",High,"Medium, Soft",Rough,Power,2023,Multieva,"Galphite, glass + carbon fiber",Carbon Tube 100%,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-k2-power-2023/,bullpadel-k2-power-2023,bullpadel,Bullpadel K2 Power 2023,Bullpadel,This padel racket Bullpadel Diamond is an ideal model for a level beginner and stands out for Power.,https://schema.org/InStock,EUR,77.96,99.95,7.1,8.0,7.0,6.0,6.5,8.0,7.1,"Man, Women",Diamond,Beginner,High,"Medium, Soft",Smooth,Power,2023,Eva Soft,Glass Fiber Polyglass,Carbon Fiber 100%,Brillo
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-03-comfort-2023/,bullpadel-vertex-03-comfort-2023,bullpadel,Bullpadel Vertex 03 Comfort 2023,Bullpadel,This padel racket Bullpadel Diamond is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,193.51,244.95,8.3,8.5,7.5,8.0,8.5,9.0,8.3,"Man, Women",Diamond,Advanced,High,"Medium, Soft",Smooth,Power,2023,Multieva,Hybrid Fiber Fibrix,Carbon Tube 100%,Brillo
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-03-women-2023/,bullpadel-vertex-03-women-2023,bullpadel,Bullpadel Vertex 03 Women 2023,Bullpadel,This padel racket Bullpadel Diamond is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,187.16,259.95,8.2,8.0,7.0,8.5,8.5,9.0,8.2,Women,Diamond,Advanced,High,"Medium, Soft",Rough,Power,2023,Multieva,Hybrid Fiber Fibrix,Carbon Tube 100%,Arenoso
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-junior-boy-2023/,bullpadel-vertex-junior-boy-2023,bullpadel,Bullpadel Vertex Junior Boy 2023,Bullpadel,This padel racket Bullpadel Diamond is an ideal model for a level beginner and stands out for Ball Output.,https://schema.org/InStock,EUR,63.86,89.95,7.4,7.0,7.0,7.5,7.5,8.0,7.4,Kids,Diamond,Intermediate,Medium,Medium,Rough,Versatile,2023,Evalastic,Glass Fiber Polyglass,Carbon Tube 100%,Arenoso
pala-hack,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-junior-girl-2023/,bullpadel-vertex-junior-girl-2023,bullpadel,Bullpadel Vertex Junior Girl 2023,Bullpadel,This padel racket Bullpadel Diamond is an ideal model for a level beginner and stands out for Ball Output.,https://schema.org/InStock,EUR,72.86,89.95,7.4,7.0,7.0,7.5,7.5,8.0,7.4,Kids,Diamond,Intermediate,Medium,Medium,Smooth,Versatile,2023,Evalastic,Glass Fiber Polyglass,Carbon Tube 100%,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/drop-shot/drop-shot-conqueror-11-jr-2023/,drop-shot-conqueror-11-jr-2023,drop-shot,Drop Shot Conqueror 11 JR 2023,Drop Shot,This padel racket Drop Shot Teardrop is an ideal model for a level intermediate and stands out for Maneuverability.,https://schema.org/InStock,EUR,99.0,110.0,8.1,8.0,8.0,8.5,8.5,7.5,8.1,Kids,Teardrop,Beginner,Medium,Medium,Smooth,Versatile,2023,Eva Soft,Glass Fiber,Glass Fiber,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/drop-shot/drop-shot-harbour-2023/,drop-shot-harbour-2023,drop-shot,Drop Shot Harbour 2023,Drop Shot,This padel racket Drop Shot Teardrop is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,169.1,190.0,8.05,8.5,7.75,7.5,8.0,8.5,8.05,"Man, Women",Teardrop,Intermediate,Medium,Medium,Rough,Power,2023,Eva Soft,Carbon 3K,Carbon,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/drop-shot/drop-shot-musk-2023/,drop-shot-musk-2023,drop-shot,Drop Shot Musk 2023,Drop Shot,This padel racket Drop Shot Diamond is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,134.9,190.0,7.3,8.0,7.0,6.5,7.0,8.0,7.3,"Man, Women",Diamond,Intermediate,Medium,Medium,Smooth,Power,2023,Eva Soft,Carbon 3K,Carbon,Brillo
pala-hack,https://pala-hack.com/en/padel-rackets/drop-shot/drop-shot-sakura-50-2023/,drop-shot-sakura-50-2023,drop-shot,Drop Shot Sakura 5.0 2023,Drop Shot,This padel racket Drop Shot Teardrop is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,102.34,119.0,6.85,7.75,7.0,6.0,6.5,7.0,6.85,"Man, Women",Teardrop,Intermediate,"High, Medium","Medium, Soft",Rough,Power,2023,Eva Pro,Glass Fiber,Carbon Fiber Double Tubular,Arenoso
pala-hack,https://pala-hack.com/en/padel-rackets/drop-shot/drop-shot-stage-pro-10-2023/,drop-shot-stage-pro-10-2023,drop-shot,Drop Shot Stage Pro 1.0 2023,Drop Shot,This padel racket Drop Shot Teardrop is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,90.3,129.0,7.0,7.5,7.0,6.5,7.0,7.0,7.0,"Man, Women",Teardrop,Intermediate,Medium,"Medium, Soft",Smooth,Versatile,2023,Eva Pro,Glass Fiber,Carbon Fiber Double Tubular,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/drop-shot/drop-shot-tacoma-2023/,drop-shot-tacoma-2023,drop-shot,Drop Shot Tacoma 2023,Drop Shot,This padel racket Drop Shot Teardrop is an ideal model for a level intermediate and stands out for Control.,https://schema.org/InStock,EUR,255.0,340.0,8.4,8.5,9.0,8.0,8.0,8.5,8.4,"Man, Women",Teardrop,Advanced,Medium,"Hard, Medium",Rough,Control,2023,Eva Pro,Carbon 24K + 3D,Carbon,Relieve 3D
